source;target;pre_link;post_link
44395;2667;0;1
44393;2667;0;1
78692;2667;0;1
44382;2667;0;1
44384;2667;0;1
44370;2667;0;1
44392;2667;0;1
76061;8893;0;1
44330;8893;0;1
40544;8963;1;0
71439;8963;1;1
40546;8963;1;1
40541;8963;1;1
56347;8963;1;1
40561;8963;1;0
40548;8963;1;1
40559;8963;1;1
40769;8963;1;0
65300;8963;0;1
8970;8963;0;1
40551;8965;1;1
40540;8965;1;1
8966;8965;1;1
80744;8965;0;1
99938;8965;0;1
40540;8966;1;1
8965;8966;1;1
80744;8966;1;1
40553;8966;1;0
99938;8966;0;1
74221;8968;1;1
40543;8968;1;1
40547;8968;1;1
40550;8969;1;1
77939;8969;1;1
40554;8969;1;1
40538;8970;1;1
40549;8970;1;1
56347;8970;0;1
65300;8970;0;1
40548;8970;0;1
8963;8970;0;1
40541;8970;0;1
64302;8971;1;1
40558;8971;1;1
40556;8971;1;1
78200;8971;0;1
77939;8971;0;1
40750;8991;0;1
40741;8991;0;1
40557;8991;1;1
40734;8991;1;1
40737;8991;1;1
40771;8991;0;1
9002;8991;0;1
40735;8991;0;1
40747;8991;0;1
40767;8991;0;1
40745;8991;0;1
40755;8993;1;1
44392;8993;0;1
82258;8993;0;1
40732;8994;1;1
40552;8994;1;1
40739;8994;0;1
8995;8994;0;1
40738;8994;1;0
9001;8994;0;1
40737;8994;0;1
40755;8994;0;1
40737;8995;1;1
40749;8995;1;0
40739;8995;1;1
8994;8995;0;1
40738;8995;0;1
40758;8997;1;1
8999;8997;1;1
40772;8997;1;0
8998;8997;1;1
40757;8997;1;1
40769;8997;1;0
40764;8997;1;0
40775;8998;1;1
53574;8998;1;1
40753;8998;0;1
8999;8998;1;1
40764;8998;1;1
40755;8998;0;1
9000;8998;0;1
8997;8998;1;1
40758;8999;1;0
8997;8999;1;1
40769;8999;1;0
8998;8999;1;1
53574;8999;1;1
9000;8999;1;0
40772;8999;1;0
40764;8999;1;0
40757;8999;1;0
8999;9000;1;0
40775;9000;0;1
40754;9000;0;1
8998;9000;0;1
40760;9000;0;1
8994;9001;0;1
40557;9002;0;1
8991;9002;0;1
40768;9002;0;1
40757;9002;0;1
44383;9229;0;1
44379;9761;1;0
78692;9761;1;1
10380;9761;0;1
44392;9761;0;1
77055;9761;0;1
82258;9761;0;1
10380;9763;0;1
77055;9763;0;1
44379;9763;1;0
82258;9763;0;1
78692;9763;1;1
44392;9763;0;1
65954;10360;0;1
98546;10360;0;1
10369;10361;1;1
73086;10361;1;0
44344;10361;1;1
10366;10361;1;1
44347;10361;0;1
44346;10362;1;0
10377;10362;1;0
44356;10362;1;0
57045;10364;0;1
44328;10364;1;0
10369;10366;1;1
54852;10366;1;1
10361;10366;1;1
44369;10366;0;1
44495;10366;0;1
69138;10366;0;1
60620;10366;0;1
59872;10366;0;1
44365;10366;0;1
10370;10366;1;0
10370;10367;0;1
44336;10367;1;0
81128;10367;0;1
44323;10367;1;0
44335;10368;1;1
44324;10368;1;0
10366;10369;1;1
44365;10369;0;1
44323;10369;1;1
54852;10369;1;1
10361;10369;1;1
69138;10369;0;1
44353;10369;1;0
44369;10369;0;1
79929;10369;0;1
44495;10369;0;1
83146;10369;0;1
10377;10370;1;1
10367;10370;0;1
10378;10370;1;0
44329;10370;1;0
44331;10370;1;0
60620;10370;0;1
10366;10370;1;0
44330;10372;0;1
81128;10373;1;1
44338;10373;1;1
44349;10374;1;1
10376;10375;1;1
91572;10375;0;1
44346;10375;1;1
59247;10375;1;1
81128;10375;1;1
44356;10375;0;1
44481;10375;0;1
10375;10376;1;1
59247;10376;1;0
10362;10377;1;0
10370;10377;1;1
60620;10377;0;1
44330;10377;1;0
44346;10377;1;0
44329;10377;1;1
79401;10378;1;1
10370;10378;1;0
44320;10378;0;1
44371;10379;1;0
44381;10380;1;0
44392;10380;0;1
44379;10380;1;0
40744;10380;0;1
70376;10380;0;1
10387;10380;1;1
44368;10380;0;1
44357;10380;0;1
44395;10380;0;1
10386;10380;1;0
44371;10380;0;1
44377;10380;1;0
78692;10380;0;1
9763;10380;0;1
82258;10380;0;1
44369;10380;0;1
40740;10380;0;1
44393;10380;0;1
44387;10380;1;0
44382;10380;0;1
40736;10380;0;1
44394;10380;0;1
9761;10380;0;1
40557;10380;0;1
44385;10381;0;1
44359;10382;1;0
44397;10382;1;1
44370;10382;1;0
44396;10382;1;0
44382;10382;1;0
44360;10382;1;0
44358;10382;1;0
44391;10382;0;1
44384;10382;1;0
71225;10382;1;0
10383;10382;1;0
44396;10383;1;1
44397;10383;1;0
71225;10383;1;1
44393;10383;1;0
44379;10383;1;0
44359;10383;1;1
44384;10383;1;0
10382;10383;1;0
44382;10383;1;0
