id;coord;core;gender
44392;0;0;0
44384;0;0;0
44395;0;0;0
44393;0;0;1
44382;0;0;0
78692;0;0;0
44370;0;0;0
44330;0;0;0
76061;0;0;0
40544;0;0;0
40769;0;1;0
40546;0;0;1
65300;0;0;1
40541;0;0;0
40561;0;0;0
40548;0;0;0
40559;0;0;1
71439;0;0;0
40556;0;0;0
56347;0;0;0
8970;0;0;0
99938;0;0;0
80744;0;0;0
40551;0;0;1
8966;0;0;0
40540;0;0;0
8965;0;0;0
40553;0;0;0
74221;0;0;0
40547;0;0;0
40543;0;0;0
40550;0;0;0
40554;0;0;0
77939;0;0;0
10526;0;1;0
40538;0;0;0
40549;0;0;0
8963;0;0;0
64302;0;1;0
78200;0;0;0
40558;0;0;0
40747;0;0;0
40750;0;0;0
40771;0;1;0
40745;0;0;0
40557;0;0;0
40732;0;0;0
9002;0;0;0
40767;0;1;0
40734;0;0;0
40741;0;0;0
40735;0;0;0
40737;0;0;0
40755;0;1;0
82258;0;0;0
9001;0;0;0
8995;0;0;0
40738;0;0;0
40552;0;0;0
40739;0;0;0
40749;0;0;0
8994;0;0;0
8998;0;0;1
40757;0;1;0
8999;0;1;0
40764;0;0;1
40758;0;1;0
40772;0;1;0
8997;0;1;0
40760;0;0;1
40753;0;0;0
9000;0;0;0
53574;0;0;1
40775;0;0;0
40754;0;0;0
8991;0;0;0
40768;0;0;0
44383;0;0;0
10383;0;0;0
77055;0;0;0
44379;0;0;0
10380;0;0;0
65954;0;0;0
98546;0;0;0
44344;0;0;0
73086;0;0;0
10366;0;0;1
10369;0;0;1
44347;0;0;0
10377;0;0;0
44356;0;0;0
44346;0;0;0
57045;0;0;0
44328;0;0;1
59872;0;0;0
44369;0;0;1
54852;0;1;0
69138;0;0;1
44365;0;0;0
44495;0;1;0
10370;0;0;0
10361;0;0;0
60620;0;0;1
44323;0;0;0
44336;0;0;1
81128;0;0;0
44324;0;0;0
44335;0;0;0
44343;0;0;1
10372;0;0;0
44332;0;0;0
83146;0;0;0
44353;0;0;1
79929;0;0;1
44331;0;0;1
10378;0;0;0
10367;0;0;1
44329;0;0;0
44338;0;0;1
44349;0;0;0
10376;0;0;0
91572;0;0;0
59247;0;0;0
44481;0;1;0
10375;0;0;0
10362;0;0;0
44320;0;0;0
79401;0;0;0
44371;0;0;0
44368;0;1;0
9761;0;0;1
40740;0;0;0
40744;0;0;0
44377;0;0;0
44394;0;0;1
10387;0;1;0
70376;0;0;0
44357;0;0;0
40736;1;1;1
9763;0;0;0
44381;0;0;1
10386;0;0;0
44387;0;1;0
44385;0;0;1
44397;0;0;0
44396;0;0;0
44358;0;0;0
44359;0;0;0
44360;0;0;0
71225;0;0;0
44391;0;0;1
10382;0;0;1
44364;0;0;1
10523;0;1;0
85923;0;0;1
10529;0;1;1
44477;0;1;0
44500;0;1;0
44488;0;1;0
44494;0;1;0
55133;0;0;0
83741;0;0;0
56680;0;0;1
44479;0;1;0
10528;0;1;0
75725;0;1;1
44482;0;1;0
44490;0;1;0
75139;0;1;1
10531;0;1;0
44475;0;1;0
44483;0;1;1
83777;0;1;0
44487;0;1;0
44478;0;1;0
8969;0;0;0
10527;0;1;0
44476;0;1;1
10524;0;1;0
54911;0;0;1
40560;0;0;0
40542;0;0;0
10701;0;0;0
8968;0;0;0
60340;0;0;0
8971;0;0;1
40742;0;0;0
40733;0;0;0
40773;0;1;1
40766;0;0;0
8993;0;0;0
40776;0;1;0
40774;0;1;0
40762;0;0;0
40770;0;1;0
44499;0;1;0
44484;0;1;1
44339;0;0;0
44351;0;0;0
85147;0;0;0
84463;0;0;0
44325;0;0;1
44337;0;0;0
10368;0;0;0
44352;0;0;0
10364;0;0;0
8893;0;0;0
44334;0;0;0
44350;0;0;0
10373;0;0;0
44319;0;0;0
68046;0;0;0
44321;0;0;0
10374;0;0;0
44389;0;0;0
44366;0;0;1
67546;0;0;1
44367;0;0;0
44361;0;0;0
44386;0;0;1
78160;0;0;1
10385;0;0;0
2667;0;0;1
44376;0;0;0
44363;0;0;0
10379;0;0;0
44378;0;0;1
44372;0;0;0
44374;0;0;0
9229;0;0;0
10381;0;0;0
103467;0;0;0
44375;0;0;1
44493;0;1;0
44498;0;1;1
64182;0;0;1
77861;0;0;0
77374;0;0;0
44489;0;1;1
44485;0;1;0
44480;0;1;0
76817;0;1;0
63485;0;0;0
44333;0;0;0
77912;0;0;0
10360;0;0;1
55104;0;0;1
